
['18-Dec-97', 'Titanic', '200000000', '674396795', '2222985568\n'], The profit from this movie is: $2697382363 

['15-Jun-18', 'Incredibles 2', '200000000', '608581744', '1242805359\n'], The profit from this movie is: $1651387103 

['14-Dec-16', 'Rogue One: A Star Wars Story', '200000000', '533539991', '1055083596\n'], The profit from this movie is: $1388623587 

['16-Jun-16', 'Finding Dory', '200000000', '486295561', '1025006125\n'], The profit from this movie is: $1311301686 

['20-Jun-19', 'Toy Story 4', '200000000', '434038008', '1072817964\n'], The profit from this movie is: $1306855972 

['18-Jun-10', 'Toy Story 3', '200000000', '415004880', '1068879522\n'], The profit from this movie is: $1283884402 

['4-May-22', 'Doctor Strange in the Multiverse of Madness', '200000000', '411331607', '952224986\n'], The profit from this movie is: $1163556593 

['24-Apr-13', 'Iron Man 3', '200000000', '408992272', '1215392272\n'], The profit from this movie is: $1424384544 

['28-Apr-17', 'Guardians of the Galaxy Vol 2', '200000000', '389813101', '869087963\n'], The profit from this movie is: $1058901064 

['30-Jun-04', 'Spider-Man 2', '200000000', '373524485', '794697557\n'], The profit from this movie is: $968222042 

['1-Mar-22', 'The Batman', '200000000', '369345583', '765950479\n'], The profit from this movie is: $935296062 

['4-Mar-10', 'Alice in Wonderland', '200000000', '334191110', '1025491110\n'], The profit from this movie is: $1159682220 

['26-Oct-12', 'Skyfall', '200000000', '304360277', '1110526981\n'], The profit from this movie is: $1214887258 

['11-Dec-12', 'The Hobbit: An Unexpected Journey', '200000000', '303003568', '1014938545\n'], The profit from this movie is: $1117942113 

['21-Jun-13', 'Monsters University', '200000000', '268488329', '743455810\n'], The profit from this movie is: $811944139 

['8-Mar-13', 'Oz the Great and Powerful', '200000000', '234770996', '490359051\n'], The profit from this movie is: $525130047 

['21-May-14', 'X-Men: Days of Future Past', '200000000', '233921534', '747862775\n'], The profit from this movie is: $781784309 

['15-Feb-23', 'Ant-Man and the Wasp: Quantumania', '200000000', '214506909', '463635303\n'], The profit from this movie is: $478142212 

['16-Apr-14', 'The Amazing Spider-Man 2', '200000000', '202853933', '708996336\n'], The profit from this movie is: $711850269 

['23-Jun-11', 'Cars 2', '200000000', '191450875', '560155383\n'], The profit from this movie is: $551606258 

['7-Jul-21', 'Black Widow', '200000000', '183651655', '379751131\n'], The profit from this movie is: $363402786 

['31-Jul-19', 'Fast & Furious Presents: Hobbs & Shaw', '200000000', '173956935', '760732926\n'], The profit from this movie is: $734689861 

['20-May-21', 'F9: The Fast Saga', '200000000', '173005945', '719360510\n'], The profit from this movie is: $692366455 

['17-Dec-10', 'Tron: Legacy', '200000000', '172062763', '399866199\n'], The profit from this movie is: $371928962 

['19-Oct-22', 'Black Adam', '200000000', '168152111', '390323855\n'], The profit from this movie is: $358475966 

['12-Nov-09', '2012', '200000000', '166112167', '757677748\n'], The profit from this movie is: $723789915 

['3-Nov-21', 'Eternals', '200000000', '164870264', '401731759\n'], The profit from this movie is: $366602023 

['14-Nov-18', 'Fantastic Beasts: The Crimes of Grindelwald', '200000000', '159555901', '648455339\n'], The profit from this movie is: $608011240 

['14-Jun-23', 'Elemental', '200000000', '154426697', '486930151\n'], The profit from this movie is: $441356848 

['21-May-09', 'Terminator Salvation', '200000000', '125322469', '365491792\n'], The profit from this movie is: $290814261 

['15-Jun-22', 'Lightyear', '200000000', '118307188', '218768299\n'], The profit from this movie is: $137075487 

['28-Jul-21', 'Jungle Cruise', '200000000', '116987516', '210469803\n'], The profit from this movie is: $127457319 

['17-Jun-11', 'Green Lantern', '200000000', '116601172', '219535492\n'], The profit from this movie is: $136136664 

['13-Jun-23', 'The Flash', '200000000', '108133313', '266516138\n'], The profit from this movie is: $174649451 

['6-Apr-22', 'Fantastic Beasts: The Secrets of Dumbledore', '200000000', '95850844', '404560145\n'], The profit from this movie is: $300410989 

['28-May-10', 'Prince of Persia: Sands of Time', '200000000', '90759676', '336359676\n'], The profit from this movie is: $227119352 

['5-Jun-19', 'Dark Phoenix', '200000000', '65845974', '246356895\n'], The profit from this movie is: $112202869 

['28-Feb-20', 'Onward', '200000000', '61555145', '133357601\n'], The profit from this movie is: $-5087254 

['19-Oct-22', 'Killers of the Flower Moon', '200000000', '53929037', '120722636\n'], The profit from this movie is: $-25348327 

['16-Dec-20', 'Wonder Woman 1984', '200000000', '46801036', '166360232\n'], The profit from this movie is: $13161268 

['4-Sep-20', 'Mulan', '200000000', '0', '69973540\n'], The profit from this movie is: $-130026460 

['2-Jul-21', 'The Tomorrow War', '200000000', '0', '19220000\n'], The profit from this movie is: $-180780000 

['13-Jul-22', 'The Gray Man', '200000000', '0', '451178\n'], The profit from this movie is: $-199548822 

['29-Jun-11', 'Transformers: Dark of the Moon', '195000000', '352390543', '1123794079\n'], The profit from this movie is: $1281184622 

['6-Jun-23', 'Transformers: Rise of the Beasts', '195000000', '157066392', '437669281\n'], The profit from this movie is: $399735673 

['2-Jun-17', 'The Mummy', '195000000', '80101125', '409953905\n'], The profit from this movie is: $295055030 

['27-Feb-13', 'Jack the Giant Slayer', '195000000', '65187603', '197687603\n'], The profit from this movie is: $67875206 

['1-Apr-15', 'Furious 7', '190000000', '353007020', '1511986364\n'], The profit from this movie is: $1674993384 

['16-May-13', 'Star Trek Into Darkness', '190000000', '228778661', '467381584\n'], The profit from this movie is: $506160245 

['19-Jun-13', 'World War Z', '190000000', '202706711', '531861650\n'], The profit from this movie is: $544568361 

['10-May-13', 'The Great Gatsby', '190000000', '144840419', '353497733\n'], The profit from this movie is: $308338152 

['6-Nov-09', 'Disney’s A Christmas Carol', '190000000', '137855863', '315709697\n'], The profit from this movie is: $263565560 

['11-Jul-13', 'Pacific Rim', '190000000', '101802906', '411002906\n'], The profit from this movie is: $322805812 

['16-Dec-21', 'The Matrix Resurrections', '190000000', '40463197', '159197755\n'], The profit from this movie is: $9660952 

['25-Nov-15', 'The Good Dinosaur', '187500000', '123087120', '333771037\n'], The profit from this movie is: $269358157 

['2-May-08', 'Iron Man', '186000000', '318604126', '585171547\n'], The profit from this movie is: $717775673 

['11-Jul-08', 'The Dark Knight', '185000000', '533720947', '998725484\n'], The profit from this movie is: $1347446431 

['22-May-08', 'Indiana Jones and the Kingdom of the Crystal Skull', '185000000', '317101119', '786635413\n'], The profit from this movie is: $918736532 

['21-Jun-12', 'Brave', '185000000', '237282182', '554606532\n'], The profit from this movie is: $606888714 

['23-Feb-17', 'Kong: Skull Island', '185000000', '168052812', '561072059\n'], The profit from this movie is: $544124871 

['21-Jul-16', 'Star Trek Beyond', '185000000', '158848340', '335673708\n'], The profit from this movie is: $309522048 

['17-Oct-19', 'Maleficent: Mistress of Evil', '185000000', '113929605', '489181357\n'], The profit from this movie is: $418110962 

['29-Sep-17', 'Blade Runner 2049', '185000000', '92054159', '257767797\n'], The profit from this movie is: $164821956 

['25-Oct-19', 'Terminator: Dark Fate', '185000000', '62253077', '250367666\n'], The profit from this movie is: $127620743 

['28-Jul-21', 'The Suicide Squad', '185000000', '55817425', '167097737\n'], The profit from this movie is: $37915162 

['22-May-19', 'Aladdin', '182000000', '355559216', '1046587513\n'], The profit from this movie is: $1220146729 

['25-Oct-17', 'Thor: Ragnarok', '180000000', '315058289', '850482778\n'], The profit from this movie is: $985541067 

['9-Dec-05', 'The Chronicles of Narnia: The Lion the Witch a…', '180000000', '291710957', '720539572\n'], The profit from this movie is: $832250529 

['28-May-14', 'Maleficent', '180000000', '241407328', '758536735\n'], The profit from this movie is: $819944063 

['14-Nov-16', 'Fantastic Beasts and Where to Find Them', '180000000', '234037575', '811724385\n'], The profit from this movie is: $865761960 

['27-Jun-08', 'WALL-E', '180000000', '223808164', '532508025\n'], The profit from this movie is: $576316189 

['10-Aug-07', 'Rush Hour 3', '180000000', '140125968', '256585882\n'], The profit from this movie is: $216711850 

['27-Jun-16', 'The Legend of Tarzan', '180000000', '126643061', '348902025\n'], The profit from this movie is: $295545086 

['23-Nov-11', 'Hugo', '180000000', '73864507', '180047784\n'], The profit from this movie is: $73912291 

['20-Jul-17', 'Valerian and the City of a Thousand Planets', '180000000', '40479370', '215098356\n'], The profit from this movie is: $75577726 

['6-Feb-15', 'Jupiter Ascending', '179000000', '47482519', '181982519\n'], The profit from this movie is: $50465038 

